name,year,language,comment
bootstrap,2011,html:js:css,twitter starter pack
node,2009,javascript,javascript platform
bower,2012,javascript, ui build application
react,2013,javascript,facebook platform
yarn,,javascript,package and project manager
webpack,2012,javascript,bundle creator - static module builder 
parceljs,javascript,web application bundler
grunt,2012,javascript,js script runner
browsify,2011,jvascript, node sytle modles compiler
jquery,2006,javascripts, programming library
express,2010,javascript, minimal application framework
composer,2012,php,package manager
vue,2014,javascript, framework
deno,2018,javascript, secure execution environment
angularjs,2010,javascript, google first angular verion
angular,2016,javascript,google 
dojo,
scriptaculous,
spring mvc,2002,java,mvc web 
jsp,
jsf,
gwt,
apache wicket,
struts,
struts2,
adobe flex,
play,2007,scala,web application framework mvc
vaadin,
grails,
rails,
django,2005,python,model template views - ui framework
apache tapestry,
backbone,
ember,2011,javascript, web framework
meteor,
knockout,
polymer,
cakephp,2005,php,
fat-free,2009,php,
symfony,2005,php,
tii,2008,php, 
turbogears,2005,python,web application framework
extJs,2007,javascript,cross platform web framework
spark,2001,java,web app framework
zend,
laravel,,php, web framework
symphony,,,
aspnet,,c#,web framework
web 1,1990,event, start of web
web 2,2000,event,  dynamic html js css dom
knockout,,,
rest,2000,design,api design
www,1990,technology, first web browser
http 0.9,1991,technology, protocol specification    
W3C.org,1994,standards,World Wide Web Consortium (W3C)  
amazon,1995,company,page launched   
ie,1995,browser, first version of internet explorer
js,1995,language,JavaScript 1.0
asp,1996,language, ASP 1.0
css,1996,language specification, css 1.0
macromedia flash,1996,flash,Macromedia Flash 1.0
HTML 3.2,1997,html, <center>, <div>, <font>, <script>, <style>
dhtml,1997,html, combination of the HTML, CSS, and JavaScript
css2,1998,css, CSS2
google,1998,company, founding
web 2.0,1999, web, term introduction
php 4.0,2000,php,PHP 4.0 and Zend Engine
wikipedia,2001,web,founded
ie 6.0,2001,ie, integrated with xp
wordpress 0.7,2003,cms, WordPress is currently the most popular content management system
sass 0-1-0,2006,sass, Syntactically awesome style sheets
iphone,2007,technology apple,Steve Jobs introduced the first iPhone smartphone model
CSS Grid,2007,css, W3C released the first proposal of the CSS Grid specification
less 1.0,2009,less, Alexis Sellier designed a CSS preprocessor called Less 1.0
Google Web Fonts,2010,google,Google Web Fonts
Responsive Web Design,2010,practice,Web designer Ethan Marcotte published an article entitled "Responsive Web Design"
HTML5,2014,html, W3C adopted the final recommendation for the HTML5 markup language
